SEQN,CBD010,CBQ020,CBQ030,CBQ040,CBQ050,CBQ060,CBD070,CBD090,CBD110,CBD120,CBD130,CBQ140,CBD150,CBD160,CBD170,CBD180,CBQ190
41634.0,2.0,1.0,1.0,2.0,3.0,1.0,280.0,0.0,257.0,50.0,50.0,2.0,10.0,6.0,60.0,7.0,6.0
41635.0,2.0,2.0,2.0,4.0,5.0,4.0,257.0,0.0,0.0,50.0,0.0,2.0,5.0,3.0,120.0,2.0,2.0
41636.0,2.0,1.0,1.0,1.0,5.0,1.0,500.0,0.0,0.0,0.0,0.0,2.0,10.0,7.0,120.0,7.0,7.0
41637.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41638.0,2.0,1.0,1.0,3.0,3.0,1.0,400.0,100.0,100.0,200.0,50.0,3.0,20.0,5.0,120.0,7.0,5.0
41639.0,2.0,1.0,1.0,5.0,1.0,1.0,200.0,0.0,0.0,200.0,0.0,3.0,15.0,4.0,35.0,4.0,4.0
41640.0,2.0,1.0,3.0,3.0,1.0,3.0,100.0,0.0,15.0,15.0,0.0,4.0,5.0,7.0,45.0,2.0,2.0
41641.0,2.0,2.0,1.0,3.0,3.0,4.0,250.0,25.0,0.0,0.0,10.0,2.0,5.0,7.0,90.0,0.0,nan
41642.0,2.0,1.0,1.0,5.0,1.0,5.0,60.0,0.0,25.0,0.0,0.0,2.0,10.0,5.0,120.0,666.0,nan
41643.0,2.0,3.0,4.0,2.0,5.0,2.0,171.0,0.0,0.0,100.0,20.0,2.0,10.0,2.0,30.0,666.0,nan
41644.0,2.0,3.0,2.0,3.0,5.0,2.0,260.0,15.0,0.0,50.0,30.0,3.0,10.0,7.0,60.0,0.0,nan
41645.0,2.0,2.0,5.0,2.0,5.0,2.0,379.0,0.0,0.0,10.0,0.0,2.0,20.0,5.0,60.0,5.0,5.0
41646.0,2.0,2.0,2.0,2.0,1.0,2.0,1500.0,214.0,0.0,857.0,0.0,1.0,10.0,7.0,120.0,7.0,7.0
41647.0,2.0,4.0,3.0,3.0,5.0,4.0,300.0,30.0,642.0,80.0,0.0,2.0,20.0,7.0,30.0,7.0,7.0
41648.0,2.0,1.0,1.0,4.0,1.0,4.0,350.0,10.0,0.0,100.0,0.0,3.0,20.0,7.0,90.0,7.0,7.0
41649.0,2.0,1.0,2.0,2.0,5.0,1.0,278.0,0.0,0.0,128.0,0.0,2.0,5.0,7.0,60.0,21.0,16.0
41650.0,2.0,2.0,2.0,3.0,1.0,3.0,150.0,50.0,75.0,0.0,0.0,4.0,25.0,7.0,90.0,7.0,7.0
41651.0,1.0,3.0,1.0,1.0,5.0,1.0,200.0,25.0,60.0,125.0,50.0,1.0,5.0,7.0,120.0,5.0,5.0
41652.0,2.0,2.0,2.0,2.0,5.0,5.0,342.0,42.0,171.0,257.0,0.0,2.0,30.0,5.0,120.0,5.0,5.0
41653.0,2.0,1.0,1.0,1.0,1.0,1.0,800.0,200.0,428.0,350.0,350.0,3.0,10.0,7.0,240.0,0.0,nan
41654.0,2.0,2.0,2.0,2.0,1.0,4.0,214.0,42.0,75.0,25.0,0.0,2.0,10.0,7.0,120.0,21.0,21.0
41655.0,2.0,3.0,2.0,2.0,3.0,3.0,400.0,20.0,30.0,30.0,20.0,2.0,15.0,7.0,15.0,7.0,7.0
41656.0,2.0,1.0,1.0,3.0,1.0,1.0,600.0,0.0,0.0,0.0,0.0,3.0,15.0,7.0,120.0,7.0,7.0
